,Error
0,599.4584475341265
1,599.4584475341265
2,599.4584475341265
3,599.4584475341265
4,599.4584475341265
5,548.6103925654859
6,548.6103925654859
7,548.6103925654859
8,548.6103925654859
9,548.6103925654859
10,523.065967581781
11,523.065967581781
12,523.065967581781
13,523.065967581781
14,523.065967581781
15,296.85534542365315
16,296.85534542365315
17,296.85534542365315
18,296.85534542365315
19,296.85534542365315
20,162.23761217267187
21,162.23761217267187
22,162.23761217267187
23,162.23761217267187
24,162.23761217267187
25,229.98104844476433
26,229.98104844476433
27,229.98104844476433
28,229.98104844476433
29,229.98104844476433
30,308.86413901805514
31,308.86413901805514
32,308.86413901805514
33,308.86413901805514
34,308.86413901805514
35,364.43407585360075
36,364.43407585360075
37,364.43407585360075
38,364.43407585360075
39,364.43407585360075
40,377.9531312956648
41,377.9531312956648
42,377.9531312956648
43,377.9531312956648
44,377.9531312956648
45,380.40769318395127
46,380.40769318395127
47,380.40769318395127
48,380.40769318395127
49,380.40769318395127
50,412.5690203917486
51,412.5690203917486
52,412.5690203917486
53,412.5690203917486
54,412.5690203917486
55,456.85328733860865
56,456.85328733860865
57,456.85328733860865
58,456.85328733860865
59,456.85328733860865
60,176.0109311074882
61,176.0109311074882
62,176.0109311074882
63,176.0109311074882
64,176.0109311074882
65,71.53694783286024
66,71.53694783286024
67,71.53694783286024
68,71.53694783286024
69,71.53694783286024
70,54.37902924760763
71,54.37902924760763
72,54.37902924760763
73,54.37902924760763
74,54.37902924760763
75,61.144616904818136
76,61.144616904818136
77,61.144616904818136
78,61.144616904818136
79,61.144616904818136
80,215.7507853520907
81,215.7507853520907
82,215.7507853520907
83,215.7507853520907
84,215.7507853520907
85,350.70157715674
86,350.70157715674
87,350.70157715674
88,350.70157715674
89,350.70157715674
90,332.9810978225903
91,332.9810978225903
92,332.9810978225903
93,332.9810978225903
94,332.9810978225903
95,286.73895089821303
96,286.73895089821303
97,286.73895089821303
98,286.73895089821303
99,286.73895089821303
100,223.04209762357783
101,223.04209762357783
102,223.04209762357783
103,223.04209762357783
104,223.04209762357783
105,206.95578607643344
106,206.95578607643344
107,206.95578607643344
108,206.95578607643344
109,206.95578607643344
110,182.0186274886946
111,182.0186274886946
112,182.0186274886946
113,182.0186274886946
114,182.0186274886946
115,206.74980164780777
116,206.74980164780777
117,206.74980164780777
118,206.74980164780777
119,206.74980164780777
120,259.42963758272623
121,259.42963758272623
122,259.42963758272623
123,259.42963758272623
124,259.42963758272623
125,275.8215206480861
126,275.8215206480861
127,275.8215206480861
128,275.8215206480861
129,275.8215206480861
130,336.16858228631554
131,336.16858228631554
132,336.16858228631554
133,336.16858228631554
134,336.16858228631554
135,334.67231282203073
136,334.67231282203073
137,334.67231282203073
138,334.67231282203073
139,334.67231282203073
140,280.5533141608124
141,280.5533141608124
142,280.5533141608124
143,280.5533141608124
144,280.5533141608124
145,262.97076916823255
146,262.97076916823255
147,262.97076916823255
148,262.97076916823255
149,262.97076916823255
150,278.0296991666198
151,278.0296991666198
152,278.0296991666198
153,278.0296991666198
154,278.0296991666198
155,281.1806153825971
156,281.1806153825971
157,281.1806153825971
158,281.1806153825971
159,281.1806153825971
160,292.96866907789234
161,292.96866907789234
162,292.96866907789234
163,292.96866907789234
164,292.96866907789234
165,309.79781987102564
166,309.79781987102564
167,309.79781987102564
168,309.79781987102564
169,309.79781987102564
170,324.13367511968147
171,324.13367511968147
172,324.13367511968147
173,324.13367511968147
174,324.13367511968147
175,334.89928783018956
176,334.89928783018956
177,334.89928783018956
178,334.89928783018956
179,334.89928783018956
