,Error
0,599.4584479818166
1,599.4584479818166
2,599.4584479818166
3,599.4584479818166
4,559.934172359897
5,559.934172359897
6,559.934172359897
7,559.934172359897
8,539.9890604784317
9,539.9890604784317
10,539.9890604784317
11,539.9890604784317
12,420.00878271007633
13,420.00878271007633
14,420.00878271007633
15,420.00878271007633
16,276.2116469878795
17,276.2116469878795
18,276.2116469878795
19,276.2116469878795
20,163.65659479470648
21,163.65659479470648
22,163.65659479470648
23,163.65659479470648
24,198.87551713437338
25,198.87551713437338
26,198.87551713437338
27,198.87551713437338
28,285.35762819333354
29,285.35762819333354
30,285.35762819333354
31,285.35762819333354
32,353.29094687248084
33,353.29094687248084
34,353.29094687248084
35,353.29094687248084
36,356.494181184351
37,356.494181184351
38,356.494181184351
39,356.494181184351
40,386.6388521755944
41,386.6388521755944
42,386.6388521755944
43,386.6388521755944
44,392.2928180831028
45,392.2928180831028
46,392.2928180831028
47,392.2928180831028
48,429.2298237967331
49,429.2298237967331
50,429.2298237967331
51,429.2298237967331
52,470.52144971556413
53,470.52144971556413
54,470.52144971556413
55,470.52144971556413
56,402.7298204024946
57,402.7298204024946
58,402.7298204024946
59,402.7298204024946
60,186.3746476382588
61,186.3746476382588
62,186.3746476382588
63,186.3746476382588
64,113.6425818326269
65,113.6425818326269
66,113.6425818326269
67,113.6425818326269
68,75.505530824349
69,75.505530824349
70,75.505530824349
71,75.505530824349
72,93.08077199515891
73,93.08077199515891
74,93.08077199515891
75,93.08077199515891
76,138.90058537447868
77,138.90058537447868
78,138.90058537447868
79,138.90058537447868
80,184.8414436152476
81,184.8414436152476
82,184.8414436152476
83,184.8414436152476
84,280.31039939102146
85,280.31039939102146
86,280.31039939102146
87,280.31039939102146
88,242.82505827538915
89,242.82505827538915
90,242.82505827538915
91,242.82505827538915
92,218.175859311524
93,218.175859311524
94,218.175859311524
95,218.175859311524
96,237.67326770580033
97,237.67326770580033
98,237.67326770580033
99,237.67326770580033
100,254.85926838409694
101,254.85926838409694
102,254.85926838409694
103,254.85926838409694
104,261.1688882745855
105,261.1688882745855
106,261.1688882745855
107,261.1688882745855
108,303.8044230852221
109,303.8044230852221
110,303.8044230852221
111,303.8044230852221
112,345.8310179396209
113,345.8310179396209
114,345.8310179396209
115,345.8310179396209
116,387.3267426651458
117,387.3267426651458
118,387.3267426651458
119,387.3267426651458
120,422.42475412231636
121,422.42475412231636
122,422.42475412231636
123,422.42475412231636
124,441.8415837077485
125,441.8415837077485
126,441.8415837077485
127,441.8415837077485
128,448.43262864377823
129,448.43262864377823
130,448.43262864377823
131,448.43262864377823
132,450.96655322487317
133,450.96655322487317
134,450.96655322487317
135,450.96655322487317
136,474.3233413758775
137,474.3233413758775
138,474.3233413758775
139,474.3233413758775
140,486.83198837364364
141,486.83198837364364
142,486.83198837364364
143,486.83198837364364
144,447.9696132686107
145,447.9696132686107
146,447.9696132686107
147,447.9696132686107
148,421.7240089462689
149,421.7240089462689
150,421.7240089462689
151,421.7240089462689
152,429.95453363447507
153,429.95453363447507
154,429.95453363447507
155,429.95453363447507
156,473.9363112220542
157,473.9363112220542
158,473.9363112220542
159,473.9363112220542
160,484.5308528589412
161,484.5308528589412
162,484.5308528589412
163,484.5308528589412
164,508.4596056703657
165,508.4596056703657
166,508.4596056703657
167,508.4596056703657
168,535.8051307903143
169,535.8051307903143
170,535.8051307903143
171,535.8051307903143
172,537.0444572132757
173,537.0444572132757
174,537.0444572132757
175,537.0444572132757
176,545.6987957566679
177,545.6987957566679
178,545.6987957566679
179,545.6987957566679
