,B3C3,D1D2,D6D5,G3F3,G4F4
0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0
21,0.7499999999876361,0.9344941975091194,0.9336374563500138,1.1016139884414446,1.0641875580576583
22,0.4999999999984171,0.9218635109424584,0.9352907776902138,1.1616858001075587,1.2258237870559898
23,0.5000000000164203,0.9718676362436207,0.8603041501210724,1.1943544709442193,1.1830540001353667
24,0.49999999971441045,0.8927426694053159,0.9201499002504665,1.1936698625024915,1.2745030104320574
25,0.499999999999585,0.9840171038323775,0.9516933703316905,1.3153805064130326,1.362575882883756
26,0.49999999999629297,0.9129741293635594,0.9350986498414279,1.3067787223917164,1.3232384773783994
27,0.49999999780163157,0.8509853572724598,0.9360119488525601,1.2218117971837188,1.3130552339056936
28,0.49999999854717525,0.9901070303899564,0.8862015689289223,1.196716441234367,1.372919560920171
29,0.5229553954886126,0.9256270602762541,0.9515963426147881,1.3894284421178256,1.290338690571503
30,0.499999999467509,0.7827371381682197,0.9313016424156562,1.1794478199643343,1.2381944150600595
31,0.4999999999793862,0.9727667523638136,0.9361249777891465,1.1436883518461392,1.2823067393646934
32,0.49999999983263343,0.8013542588582185,0.75801762759876,1.1407488626727227,1.1026983578073173
33,0.4999999996306423,0.7863206405131017,0.8420845864978229,0.930438954999458,1.1726203938102324
34,0.4999999995795318,0.8060361829469734,0.6400511766831605,1.0016822241409924,1.019997529593139
35,0.5000000006989899,0.7729508148597394,0.7215353857892555,0.8255909022407929,1.1566404743795566
36,0.4999999978390276,0.6523832714923834,0.5000000010257546,0.8912389756347069,1.0890747615881968
37,0.49999999969690145,0.6493031944263767,0.7653519484978331,0.8650542695050903,1.3069658808666957
38,0.49999999657767397,0.9341403770377898,0.7406545338186127,1.0440879899128426,1.1793580205922474
39,0.5000000002274759,0.6490604100778927,0.7487644227452789,0.9585082215121153,1.0462714762278216
40,0.49999999443311716,0.9183875191507689,0.8924656222158591,0.8321217181901834,1.4228488048818124
41,0.5000000012184316,0.9022400036376306,0.5398191054420111,1.0935452580589848,0.8212106777171437
42,0.49999999951088225,0.5707618580385596,0.9396984265366988,0.6546712357255967,1.269766554111812
43,0.4999999999960938,0.992708516916524,0.49999999999649686,0.9134418116431152,1.0581548200206474
44,0.4999999999745226,0.6121434845593167,0.8694270840703868,0.9731814054000019,1.1521266102279442
45,0.49999999839637693,0.6705790556846075,0.5603543880995413,0.6732624863246275,1.067242751384625
46,0.49999999996722155,0.8335870741252659,0.5000000021480032,0.7038486346312715,1.1358834266589621
47,0.4999999996433809,0.49999999929523126,0.6222832902053061,0.8859739246994097,0.8643297379119339
48,0.4999999999665994,0.8275461917439788,0.7071077165139079,0.5000000001251784,1.1942503981371524
49,0.4999999999044206,0.7641073601674224,0.49999999992625377,1.0037222528408405,1.0307397052503855
50,0.4999999999843623,0.5110492230276192,0.767309091713173,0.6850009085950777,1.212825960261366
51,0.49999999845033305,0.886477678599482,0.5000000117618751,0.7170789059460859,0.8739331245980108
52,0.49999999989398586,0.5000000003029265,0.7505785637425716,0.8340909939456836,1.1424935905525966
53,0.49999999989285326,1.048030635784159,0.7306865725709781,0.8200934903432049,1.15255170851302
54,0.7762973460089089,0.6607538920771652,0.7284018018462632,1.0617330402818463,0.7240033761332152
55,0.49999999960383307,0.7014588984236794,0.8947921034911164,0.5000000014399063,1.23940566416751
56,0.5000000009900399,1.0708223801564731,0.4999999982235646,1.0983719582427758,0.6378726988044155
57,0.6182235002993847,0.49999999747790475,1.2388862169398795,0.8814919497291638,1.0639950524704016
58,0.499999998467383,1.157738594952855,0.5730152903236988,0.7780359803244598,1.1149600460632516
59,0.8739568134296943,0.8519122082998455,0.7144719616140799,1.1720618759963277,0.8670451102408521
60,0.4999999995222183,0.5596750835670491,0.9206168617046826,0.6952288955703897,0.8908134327307704
61,0.49999999857765265,1.261523369133881,0.5000000010891898,0.763354887380276,1.0990527301194821
62,0.77734974895704,0.5404581567632738,0.8539963687957438,1.4047434629425184,0.9038323710721279
63,0.49999999889150726,1.1095615340944034,1.164585872992031,0.7735988646103539,1.2575155419098976
64,0.8089228454628911,1.2821173770848675,0.500000000409643,1.4018558791718136,1.060938085787115
65,0.7915507826357708,0.508645126132861,1.2987694025032706,1.239282221424894,1.168627454171701
66,0.4999999970788358,1.3308891441673216,0.5565259300727182,0.8111584238856409,0.7658026634698767
67,0.6512587022727688,0.49999999998834344,0.6811692294612379,1.1502677151070382,0.9959993566121009
68,0.49999999689169866,1.119479356113209,1.1888155891844363,1.082841113241229,1.4656974705209689
69,1.1101754804070212,1.3579599439080388,0.6414967510273175,1.49999998224039,0.7498885065466465
70,0.7057265329756174,0.5000000309754596,1.499999496463496,1.2470967523219727,1.490560309892526
71,0.49999999777168946,1.4999999903224908,0.5584952472659318,1.3003644280758295,1.2757457254146225
72,1.3126408366951747,0.7757963994522,1.2558966437348358,1.4999999931018793,0.8851584534577323
73,0.4999999907509928,1.2208677247903754,1.4999950073855275,1.0115946189051086,1.499999974608229
