,Region 0,Region 1,Region 2,Region 3,Region 4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,54.0,0.0,18.94736842105263,15.0
2,18.94736842105263,72.0,18.94736842105263,37.89473684210526,15.0
3,18.94736842105263,36.0,0.0,56.8421052631579,60.0
4,37.89473684210526,0.0,0.0,0.0,60.0
5,37.89473684210526,108.0,18.94736842105263,75.78947368421052,60.0
6,0.0,54.0,56.8421052631579,18.94736842105263,15.0
7,75.78947368421052,108.0,94.73684210526316,37.89473684210526,75.0
8,75.78947368421052,72.0,18.94736842105263,37.89473684210526,90.0
9,75.78947368421052,18.0,18.94736842105263,37.89473684210526,90.0
10,18.94736842105263,90.0,56.8421052631579,113.6842105263158,105.0
11,113.6842105263158,126.0,189.47368421052633,227.3684210526316,75.0
12,189.47368421052633,198.0,189.47368421052633,227.3684210526316,210.0
13,265.2631578947368,144.0,208.42105263157896,75.78947368421052,195.0
14,341.05263157894734,306.0,360.0,265.2631578947368,240.0
15,265.2631578947368,432.0,284.2105263157895,303.1578947368421,195.0
16,454.7368421052632,432.0,416.8421052631579,378.94736842105266,285.0
17,265.2631578947368,126.0,435.7894736842105,246.31578947368422,495.0
18,208.42105263157896,144.0,284.2105263157895,189.47368421052633,330.0
19,416.8421052631579,576.0,341.05263157894734,492.63157894736844,420.0
20,246.31578947368422,522.0,189.47368421052633,511.57894736842104,435.0
21,360.0,450.0,341.05263157894734,341.05263157894734,675.0
22,246.31578947368422,126.0,132.6315789473684,94.73684210526316,375.0
23,322.10526315789474,414.0,341.05263157894734,416.8421052631579,540.0
24,151.57894736842104,324.0,189.47368421052633,397.89473684210526,480.0
25,265.2631578947368,216.0,341.05263157894734,246.31578947368422,405.0
26,151.57894736842104,90.0,246.31578947368422,94.73684210526316,735.0
27,113.6842105263158,18.0,189.47368421052633,75.78947368421052,390.0
28,170.52631578947367,126.0,227.3684210526316,265.2631578947368,525.0
29,56.8421052631579,126.0,113.6842105263158,151.57894736842104,360.0
30,170.52631578947367,54.0,189.47368421052633,170.52631578947367,330.0
31,56.8421052631579,36.0,113.6842105263158,56.8421052631579,135.0
32,75.78947368421052,144.0,113.6842105263158,208.42105263157896,240.0
33,113.6842105263158,108.0,75.78947368421052,113.6842105263158,195.0
34,56.8421052631579,108.0,94.73684210526316,189.47368421052633,300.0
35,132.6315789473684,36.0,113.6842105263158,37.89473684210526,255.0
36,56.8421052631579,72.0,113.6842105263158,94.73684210526316,195.0
37,37.89473684210526,72.0,18.94736842105263,151.57894736842104,240.0
38,18.94736842105263,108.0,94.73684210526316,132.6315789473684,75.0
39,113.6842105263158,162.0,113.6842105263158,37.89473684210526,315.0
40,132.6315789473684,54.0,94.73684210526316,18.94736842105263,135.0
41,170.52631578947367,162.0,151.57894736842104,56.8421052631579,255.0
42,56.8421052631579,108.0,56.8421052631579,75.78947368421052,135.0
43,113.6842105263158,162.0,189.47368421052633,56.8421052631579,270.0
44,113.6842105263158,126.0,113.6842105263158,37.89473684210526,330.0
45,18.94736842105263,90.0,75.78947368421052,18.94736842105263,165.0
46,56.8421052631579,144.0,132.6315789473684,132.6315789473684,360.0
47,37.89473684210526,126.0,56.8421052631579,113.6842105263158,210.0
48,37.89473684210526,108.0,113.6842105263158,113.6842105263158,255.0
49,75.78947368421052,72.0,94.73684210526316,37.89473684210526,135.0
50,94.73684210526316,180.0,113.6842105263158,132.6315789473684,195.0
51,75.78947368421052,126.0,94.73684210526316,94.73684210526316,195.0
52,94.73684210526316,90.0,170.52631578947367,94.73684210526316,240.0
53,113.6842105263158,18.0,94.73684210526316,37.89473684210526,330.0
54,56.8421052631579,36.0,75.78947368421052,18.94736842105263,150.0
55,75.78947368421052,90.0,94.73684210526316,170.52631578947367,375.0
56,132.6315789473684,162.0,170.52631578947367,246.31578947368422,210.0
57,435.7894736842105,306.0,378.94736842105266,378.94736842105266,435.0
58,397.89473684210526,252.0,284.2105263157895,416.8421052631579,225.0
59,795.7894736842105,522.0,454.7368421052632,682.1052631578947,300.0
60,549.4736842105264,612.0,378.94736842105266,568.421052631579,270.0
61,625.2631578947369,720.0,454.7368421052632,587.3684210526316,285.0
62,663.1578947368421,594.0,378.94736842105266,606.3157894736842,450.0
63,549.4736842105264,252.0,416.8421052631579,322.10526315789474,510.0
64,871.578947368421,756.0,435.7894736842105,795.7894736842105,405.0
65,606.3157894736842,558.0,378.94736842105266,682.1052631578947,420.0
66,776.8421052631579,684.0,625.2631578947369,511.57894736842104,870.0
67,587.3684210526316,414.0,454.7368421052632,227.3684210526316,720.0
68,663.1578947368421,792.0,738.9473684210526,814.7368421052631,720.0
69,378.94736842105266,936.0,606.3157894736842,663.1578947368421,570.0
70,701.0526315789474,774.0,549.4736842105264,530.5263157894736,525.0
71,435.7894736842105,414.0,378.94736842105266,170.52631578947367,780.0
72,170.52631578947367,126.0,341.05263157894734,170.52631578947367,495.0
73,378.94736842105266,648.0,378.94736842105266,341.05263157894734,570.0
74,113.6842105263158,396.0,170.52631578947367,416.8421052631579,375.0
75,246.31578947368422,324.0,397.89473684210526,246.31578947368422,630.0
76,189.47368421052633,90.0,170.52631578947367,132.6315789473684,510.0
77,284.2105263157895,252.0,170.52631578947367,435.7894736842105,375.0
78,208.42105263157896,288.0,94.73684210526316,341.05263157894734,285.0
79,322.10526315789474,360.0,151.57894736842104,132.6315789473684,240.0
80,208.42105263157896,18.0,18.94736842105263,37.89473684210526,390.0
81,94.73684210526316,18.0,18.94736842105263,151.57894736842104,315.0
82,246.31578947368422,324.0,151.57894736842104,75.78947368421052,360.0
83,189.47368421052633,180.0,37.89473684210526,18.94736842105263,285.0
84,246.31578947368422,72.0,132.6315789473684,75.78947368421052,675.0
85,113.6842105263158,90.0,37.89473684210526,56.8421052631579,300.0
86,170.52631578947367,126.0,94.73684210526316,132.6315789473684,510.0
87,189.47368421052633,144.0,75.78947368421052,75.78947368421052,195.0
88,265.2631578947368,162.0,37.89473684210526,94.73684210526316,315.0
89,94.73684210526316,72.0,170.52631578947367,37.89473684210526,495.0
90,0.0,36.0,208.42105263157896,56.8421052631579,465.0
91,151.57894736842104,90.0,37.89473684210526,56.8421052631579,435.0
92,170.52631578947367,90.0,56.8421052631579,75.78947368421052,330.0
93,227.3684210526316,72.0,170.52631578947367,94.73684210526316,495.0
94,113.6842105263158,36.0,75.78947368421052,113.6842105263158,330.0
95,170.52631578947367,126.0,94.73684210526316,94.73684210526316,390.0
96,75.78947368421052,90.0,75.78947368421052,151.57894736842104,285.0
97,113.6842105263158,90.0,113.6842105263158,246.31578947368422,300.0
98,113.6842105263158,90.0,208.42105263157896,113.6842105263158,240.0
99,18.94736842105263,90.0,94.73684210526316,94.73684210526316,120.0
100,37.89473684210526,144.0,132.6315789473684,246.31578947368422,390.0
101,56.8421052631579,126.0,94.73684210526316,132.6315789473684,315.0
102,37.89473684210526,72.0,132.6315789473684,151.57894736842104,345.0
103,37.89473684210526,36.0,208.42105263157896,113.6842105263158,255.0
104,56.8421052631579,126.0,132.6315789473684,151.57894736842104,450.0
105,94.73684210526316,90.0,113.6842105263158,56.8421052631579,630.0
106,189.47368421052633,72.0,189.47368421052633,37.89473684210526,375.0
107,56.8421052631579,54.0,208.42105263157896,75.78947368421052,345.0
108,56.8421052631579,36.0,208.42105263157896,94.73684210526316,285.0
109,151.57894736842104,90.0,94.73684210526316,151.57894736842104,615.0
110,113.6842105263158,54.0,56.8421052631579,56.8421052631579,345.0
111,75.78947368421052,72.0,246.31578947368422,113.6842105263158,435.0
112,18.94736842105263,54.0,75.78947368421052,37.89473684210526,420.0
113,75.78947368421052,144.0,75.78947368421052,132.6315789473684,585.0
114,113.6842105263158,126.0,18.94736842105263,113.6842105263158,390.0
115,75.78947368421052,144.0,94.73684210526316,37.89473684210526,495.0
116,94.73684210526316,54.0,75.78947368421052,18.94736842105263,630.0
117,56.8421052631579,36.0,56.8421052631579,0.0,570.0
118,56.8421052631579,126.0,113.6842105263158,37.89473684210526,705.0
119,94.73684210526316,90.0,18.94736842105263,18.94736842105263,510.0
120,75.78947368421052,90.0,132.6315789473684,37.89473684210526,660.0
121,18.94736842105263,72.0,37.89473684210526,37.89473684210526,480.0
122,56.8421052631579,90.0,56.8421052631579,94.73684210526316,525.0
123,75.78947368421052,72.0,75.78947368421052,56.8421052631579,525.0
124,56.8421052631579,126.0,75.78947368421052,132.6315789473684,495.0
125,18.94736842105263,36.0,113.6842105263158,37.89473684210526,555.0
126,0.0,54.0,94.73684210526316,0.0,435.0
127,18.94736842105263,90.0,56.8421052631579,113.6842105263158,645.0
128,56.8421052631579,90.0,56.8421052631579,56.8421052631579,360.0
129,37.89473684210526,90.0,56.8421052631579,94.73684210526316,600.0
130,37.89473684210526,54.0,132.6315789473684,18.94736842105263,600.0
131,56.8421052631579,126.0,113.6842105263158,75.78947368421052,420.0
132,56.8421052631579,126.0,94.73684210526316,37.89473684210526,210.0
133,94.73684210526316,72.0,75.78947368421052,113.6842105263158,210.0
134,94.73684210526316,18.0,18.94736842105263,18.94736842105263,420.0
135,37.89473684210526,54.0,0.0,75.78947368421052,120.0
136,75.78947368421052,72.0,56.8421052631579,94.73684210526316,330.0
137,18.94736842105263,18.0,37.89473684210526,170.52631578947367,135.0
