,Region 0,Region 1,Region 2,Region 3,Region 4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,54.0,0.0,18.94736842105263,15.0
2,18.94736842105263,72.0,18.94736842105263,37.89473684210526,15.0
3,18.94736842105263,36.0,0.0,56.8421052631579,60.0
4,37.89473684210526,0.0,0.0,0.0,45.0
5,37.89473684210526,108.0,18.94736842105263,75.78947368421052,75.0
6,0.0,54.0,56.8421052631579,18.94736842105263,15.0
7,75.78947368421052,108.0,94.73684210526316,37.89473684210526,75.0
8,75.78947368421052,72.0,18.94736842105263,37.89473684210526,90.0
9,75.78947368421052,18.0,18.94736842105263,37.89473684210526,90.0
10,18.94736842105263,90.0,56.8421052631579,113.6842105263158,105.0
11,113.6842105263158,126.0,189.47368421052633,227.3684210526316,75.0
12,189.47368421052633,180.0,189.47368421052633,227.3684210526316,225.0
13,265.2631578947368,144.0,208.42105263157896,75.78947368421052,210.0
14,322.10526315789474,324.0,360.0,265.2631578947368,315.0
15,265.2631578947368,450.0,284.2105263157895,303.1578947368421,150.0
16,435.7894736842105,414.0,416.8421052631579,378.94736842105266,330.0
17,265.2631578947368,90.0,435.7894736842105,208.42105263157896,525.0
18,189.47368421052633,144.0,284.2105263157895,189.47368421052633,345.0
19,378.94736842105266,576.0,341.05263157894734,530.5263157894736,450.0
20,208.42105263157896,504.0,208.42105263157896,511.57894736842104,390.0
21,360.0,432.0,341.05263157894734,341.05263157894734,630.0
22,227.3684210526316,108.0,113.6842105263158,113.6842105263158,495.0
23,360.0,414.0,322.10526315789474,416.8421052631579,540.0
24,151.57894736842104,324.0,189.47368421052633,397.89473684210526,435.0
25,284.2105263157895,216.0,341.05263157894734,227.3684210526316,405.0
26,170.52631578947367,90.0,265.2631578947368,94.73684210526316,705.0
27,113.6842105263158,36.0,189.47368421052633,75.78947368421052,345.0
28,113.6842105263158,126.0,227.3684210526316,265.2631578947368,615.0
29,75.78947368421052,126.0,113.6842105263158,170.52631578947367,405.0
30,170.52631578947367,72.0,189.47368421052633,170.52631578947367,540.0
31,56.8421052631579,36.0,94.73684210526316,56.8421052631579,255.0
32,75.78947368421052,144.0,151.57894736842104,189.47368421052633,315.0
33,94.73684210526316,108.0,132.6315789473684,132.6315789473684,195.0
34,56.8421052631579,108.0,170.52631578947367,151.57894736842104,240.0
35,113.6842105263158,72.0,132.6315789473684,56.8421052631579,240.0
36,75.78947368421052,90.0,113.6842105263158,113.6842105263158,150.0
37,18.94736842105263,72.0,56.8421052631579,132.6315789473684,180.0
38,18.94736842105263,108.0,37.89473684210526,113.6842105263158,195.0
39,113.6842105263158,162.0,94.73684210526316,37.89473684210526,285.0
40,132.6315789473684,54.0,75.78947368421052,18.94736842105263,165.0
41,151.57894736842104,198.0,132.6315789473684,56.8421052631579,180.0
42,18.94736842105263,126.0,75.78947368421052,75.78947368421052,285.0
43,113.6842105263158,126.0,189.47368421052633,56.8421052631579,285.0
44,132.6315789473684,108.0,94.73684210526316,56.8421052631579,240.0
45,18.94736842105263,54.0,75.78947368421052,37.89473684210526,105.0
46,37.89473684210526,144.0,113.6842105263158,151.57894736842104,360.0
47,56.8421052631579,108.0,37.89473684210526,113.6842105263158,165.0
48,75.78947368421052,90.0,113.6842105263158,113.6842105263158,300.0
49,75.78947368421052,72.0,94.73684210526316,37.89473684210526,150.0
50,113.6842105263158,180.0,75.78947368421052,113.6842105263158,255.0
51,75.78947368421052,144.0,75.78947368421052,94.73684210526316,165.0
52,75.78947368421052,108.0,132.6315789473684,113.6842105263158,165.0
53,94.73684210526316,18.0,75.78947368421052,37.89473684210526,180.0
54,75.78947368421052,36.0,75.78947368421052,18.94736842105263,135.0
55,56.8421052631579,90.0,75.78947368421052,151.57894736842104,270.0
56,113.6842105263158,162.0,170.52631578947367,246.31578947368422,180.0
57,435.7894736842105,270.0,378.94736842105266,397.89473684210526,255.0
58,416.8421052631579,234.0,303.1578947368421,397.89473684210526,210.0
59,757.8947368421053,504.0,454.7368421052632,644.2105263157895,285.0
60,511.57894736842104,594.0,341.05263157894734,549.4736842105264,210.0
61,644.2105263157895,774.0,492.63157894736844,644.2105263157895,240.0
62,701.0526315789474,540.0,435.7894736842105,663.1578947368421,510.0
63,530.5263157894736,252.0,360.0,265.2631578947368,630.0
64,833.6842105263158,702.0,473.6842105263158,776.8421052631579,495.0
65,644.2105263157895,612.0,378.94736842105266,682.1052631578947,465.0
66,795.7894736842105,648.0,606.3157894736842,568.421052631579,855.0
67,568.421052631579,342.0,435.7894736842105,341.05263157894734,765.0
68,682.1052631578947,900.0,738.9473684210526,682.1052631578947,675.0
69,378.94736842105266,900.0,663.1578947368421,682.1052631578947,420.0
70,701.0526315789474,756.0,549.4736842105264,625.2631578947369,480.0
71,435.7894736842105,522.0,360.0,189.47368421052633,570.0
72,151.57894736842104,144.0,303.1578947368421,170.52631578947367,660.0
73,378.94736842105266,648.0,322.10526315789474,341.05263157894734,585.0
74,132.6315789473684,414.0,189.47368421052633,435.7894736842105,330.0
75,227.3684210526316,288.0,416.8421052631579,322.10526315789474,630.0
76,189.47368421052633,108.0,246.31578947368422,189.47368421052633,600.0
77,227.3684210526316,216.0,284.2105263157895,435.7894736842105,480.0
78,246.31578947368422,270.0,132.6315789473684,208.42105263157896,315.0
79,341.05263157894734,360.0,170.52631578947367,170.52631578947367,210.0
80,170.52631578947367,54.0,246.31578947368422,75.78947368421052,360.0
81,37.89473684210526,54.0,170.52631578947367,94.73684210526316,330.0
82,265.2631578947368,270.0,170.52631578947367,113.6842105263158,315.0
83,75.78947368421052,162.0,18.94736842105263,37.89473684210526,240.0
84,170.52631578947367,72.0,132.6315789473684,37.89473684210526,420.0
85,170.52631578947367,72.0,56.8421052631579,37.89473684210526,345.0
86,132.6315789473684,144.0,75.78947368421052,132.6315789473684,255.0
87,94.73684210526316,162.0,56.8421052631579,151.57894736842104,150.0
88,246.31578947368422,144.0,37.89473684210526,246.31578947368422,240.0
89,151.57894736842104,36.0,37.89473684210526,37.89473684210526,330.0
90,75.78947368421052,36.0,56.8421052631579,75.78947368421052,150.0
91,284.2105263157895,72.0,18.94736842105263,75.78947368421052,390.0
92,151.57894736842104,72.0,18.94736842105263,37.89473684210526,300.0
93,132.6315789473684,90.0,94.73684210526316,94.73684210526316,300.0
94,56.8421052631579,36.0,189.47368421052633,18.94736842105263,285.0
95,113.6842105263158,144.0,189.47368421052633,56.8421052631579,375.0
96,75.78947368421052,90.0,75.78947368421052,37.89473684210526,240.0
97,113.6842105263158,90.0,113.6842105263158,94.73684210526316,450.0
98,94.73684210526316,90.0,170.52631578947367,170.52631578947367,375.0
99,0.0,54.0,56.8421052631579,94.73684210526316,270.0
100,37.89473684210526,144.0,113.6842105263158,227.3684210526316,285.0
101,132.6315789473684,126.0,56.8421052631579,151.57894736842104,225.0
102,170.52631578947367,72.0,113.6842105263158,151.57894736842104,315.0
103,56.8421052631579,36.0,56.8421052631579,56.8421052631579,345.0
104,56.8421052631579,126.0,56.8421052631579,132.6315789473684,495.0
105,94.73684210526316,90.0,94.73684210526316,113.6842105263158,255.0
106,227.3684210526316,90.0,94.73684210526316,18.94736842105263,390.0
107,75.78947368421052,72.0,132.6315789473684,75.78947368421052,540.0
108,37.89473684210526,36.0,132.6315789473684,75.78947368421052,435.0
109,151.57894736842104,108.0,94.73684210526316,56.8421052631579,330.0
110,113.6842105263158,36.0,56.8421052631579,56.8421052631579,180.0
111,56.8421052631579,72.0,151.57894736842104,94.73684210526316,495.0
112,0.0,36.0,75.78947368421052,37.89473684210526,375.0
113,75.78947368421052,198.0,75.78947368421052,113.6842105263158,585.0
114,94.73684210526316,126.0,37.89473684210526,113.6842105263158,465.0
115,75.78947368421052,180.0,75.78947368421052,37.89473684210526,585.0
116,94.73684210526316,90.0,94.73684210526316,18.94736842105263,750.0
117,56.8421052631579,36.0,56.8421052631579,0.0,555.0
118,75.78947368421052,162.0,113.6842105263158,56.8421052631579,750.0
119,94.73684210526316,90.0,56.8421052631579,18.94736842105263,600.0
120,75.78947368421052,72.0,132.6315789473684,56.8421052631579,855.0
121,94.73684210526316,54.0,37.89473684210526,37.89473684210526,495.0
122,75.78947368421052,90.0,94.73684210526316,113.6842105263158,540.0
123,75.78947368421052,72.0,94.73684210526316,56.8421052631579,465.0
124,75.78947368421052,126.0,113.6842105263158,132.6315789473684,585.0
125,37.89473684210526,36.0,94.73684210526316,56.8421052631579,540.0
126,18.94736842105263,36.0,113.6842105263158,0.0,465.0
127,37.89473684210526,72.0,75.78947368421052,94.73684210526316,675.0
128,18.94736842105263,90.0,37.89473684210526,75.78947368421052,510.0
129,56.8421052631579,90.0,75.78947368421052,75.78947368421052,675.0
130,37.89473684210526,90.0,132.6315789473684,18.94736842105263,360.0
131,113.6842105263158,108.0,170.52631578947367,75.78947368421052,540.0
132,56.8421052631579,126.0,94.73684210526316,37.89473684210526,330.0
133,208.42105263157896,72.0,113.6842105263158,113.6842105263158,375.0
134,75.78947368421052,36.0,37.89473684210526,18.94736842105263,315.0
135,56.8421052631579,54.0,0.0,75.78947368421052,210.0
136,151.57894736842104,72.0,75.78947368421052,75.78947368421052,285.0
137,56.8421052631579,18.0,37.89473684210526,170.52631578947367,75.0
